employee_id,role,region,evaluation_date,revenue_usd,field_visits,customer_satisfaction,performance_score,target_achievement_pct,operational_cost_usd,evaluation_notes
EMP-1001,Sales Manager,North,2024-08-27,67507.53,22,3.11,65.3,58.2,187760.26,Requires improvement in field coordination.
EMP-1002,Field Manager,West,2023-08-14,72247.88,10,3.05,79.2,52.12,57721.04,Requires improvement in field coordination.
EMP-1003,Field Manager,South,2023-08-09,462485.98,56,4.67,88.83,62.77,111427.46,Performance impacted by delayed field audits.
EMP-1004,Field Manager,Central,2023-05-08,121547.19,29,2.74,92.2,98.3,203710.79,Exceeded quarterly sales and service expectations.
EMP-1005,Field Manager,North,2024-11-08,105160.14,23,4.57,83.5,118.94,148564.51,Strong regional sales growth with operational efficiency.
EMP-1006,Sales Manager,South,2024-01-15,591147.84,10,4.64,92.93,80.41,118818.47,Performance impacted by delayed field audits.
EMP-1007,Field Manager,South,2023-06-17,196654.92,22,4.25,85.97,55.71,162394.79,Requires improvement in field coordination.
EMP-1008,Field Manager,South,2023-02-02,315618.81,45,4.22,68.35,75.94,194395.26,Strong regional sales growth with operational efficiency.
EMP-1009,Field Manager,West,2024-10-20,330815.35,9,3.03,95.83,120.11,85522.69,Exceeded quarterly sales and service expectations.
EMP-1010,Field Manager,West,2024-01-06,150010.11,13,3.12,81.33,71.02,150300.64,Requires improvement in field coordination.
EMP-1011,Sales Manager,West,2024-09-02,748128.04,13,3.77,63.45,53.77,36315.79,Field inspections improved customer retention rates.
EMP-1012,Sales Manager,North,2024-11-29,319337.12,43,4.99,80.11,127.69,216587.13,Strong regional sales growth with operational efficiency.
EMP-1013,Field Manager,Central,2023-07-02,588019.11,26,2.78,76.52,86.3,238915.82,Performance impacted by delayed field audits.
EMP-1014,Sales Manager,Central,2024-06-27,659363.0,24,4.6,79.29,65.91,99739.32,Field inspections improved customer retention rates.
EMP-1015,Sales Manager,South,2023-03-01,469261.21,36,2.55,95.31,120.3,209599.73,Performance impacted by delayed field audits.
EMP-1016,Sales Manager,South,2024-11-06,664606.72,10,2.71,78.47,55.54,192544.52,Field inspections improved customer retention rates.
EMP-1017,Field Manager,South,2024-12-31,712794.08,15,3.16,93.15,83.85,60831.57,Requires improvement in field coordination.
EMP-1018,Field Manager,North,2023-12-13,329294.61,47,4.12,76.65,91.41,39041.01,Field inspections improved customer retention rates.
EMP-1019,Sales Manager,North,2023-12-05,461816.1,19,3.97,60.27,106.63,24129.7,Strong regional sales growth with operational efficiency.
EMP-1020,Sales Manager,Central,2024-04-29,409909.28,22,4.17,68.14,60.58,234523.42,Requires improvement in field coordination.
EMP-1021,Sales Manager,West,2023-02-25,599233.6,56,3.52,63.58,102.72,95031.42,Exceeded quarterly sales and service expectations.
EMP-1022,Sales Manager,South,2024-03-08,92428.87,51,3.35,92.74,69.89,55650.14,Exceeded quarterly sales and service expectations.
EMP-1023,Sales Manager,North,2024-10-29,244981.6,20,4.69,62.86,114.64,215432.05,Strong regional sales growth with operational efficiency.
EMP-1024,Sales Manager,North,2023-06-18,728297.38,53,4.62,66.32,88.85,61299.35,Exceeded quarterly sales and service expectations.
EMP-1025,Field Manager,West,2023-06-08,51508.76,29,3.16,89.79,86.4,111521.8,Requires improvement in field coordination.
EMP-1026,Sales Manager,West,2024-05-29,257695.48,8,3.95,80.6,109.84,23719.67,Requires improvement in field coordination.
EMP-1027,Sales Manager,West,2023-05-03,89815.71,37,2.7,67.06,97.6,172051.01,Field inspections improved customer retention rates.
EMP-1028,Sales Manager,South,2024-11-16,455243.34,7,4.05,75.93,96.69,135467.85,Performance impacted by delayed field audits.
