employee_id,role,region,evaluation_date,revenue_usd,field_visits,customer_satisfaction,performance_score,target_achievement_pct,operational_cost_usd,evaluation_notes
EMP-1001,Gerente de Ventas,South,2024-11-27,493886.06,55,4.98,78.64,78.46,235874.28,Superó las expectativas trimestrales de ventas y servicio.
EMP-1002,Gerente de Campo,South,2024-02-03,109985.88,44,3.24,69.37,55.88,74313.29,Superó las expectativas trimestrales de ventas y servicio.
EMP-1003,Gerente de Campo,North,2023-07-11,302490.16,10,2.51,71.71,78.79,74743.95,Las inspecciones de campo mejoraron la retención de clientes.
EMP-1004,Gerente de Campo,Central,2023-11-29,364190.57,40,3.78,63.93,57.17,143012.75,Requiere mejoras en la coordinación de campo.
EMP-1005,Gerente de Campo,Central,2024-06-17,58638.43,31,3.47,63.22,122.09,227249.82,Las inspecciones de campo mejoraron la retención de clientes.
EMP-1006,Gerente de Ventas,East,2024-03-07,529721.19,15,2.85,71.44,89.45,25184.12,Superó las expectativas trimestrales de ventas y servicio.
EMP-1007,Gerente de Campo,South,2024-04-13,388961.92,9,3.4,95.88,107.67,128992.58,Requiere mejoras en la coordinación de campo.
EMP-1008,Gerente de Ventas,West,2023-12-09,144842.67,5,4.87,72.62,99.62,202978.35,El rendimiento se vio afectado por auditorías retrasadas.
EMP-1009,Gerente de Campo,West,2023-11-18,620832.83,60,4.13,82.59,74.03,154770.7,Las inspecciones de campo mejoraron la retención de clientes.
EMP-1010,Gerente de Ventas,East,2024-01-21,725202.24,25,3.23,86.41,89.28,148211.03,Las inspecciones de campo mejoraron la retención de clientes.
EMP-1011,Gerente de Campo,Central,2023-01-28,621546.16,30,3.41,95.42,65.98,249343.58,Las inspecciones de campo mejoraron la retención de clientes.
EMP-1012,Gerente de Campo,West,2023-05-23,710082.44,18,3.6,71.07,105.43,206551.74,Superó las expectativas trimestrales de ventas y servicio.
EMP-1013,Gerente de Campo,West,2024-08-19,219414.82,47,2.89,76.08,80.16,117776.01,Requiere mejoras en la coordinación de campo.
EMP-1014,Gerente de Campo,Central,2024-10-15,424057.18,60,4.23,80.66,113.26,96287.08,Requiere mejoras en la coordinación de campo.
EMP-1015,Gerente de Ventas,East,2024-03-16,126558.6,20,4.14,73.49,101.76,20631.21,Superó las expectativas trimestrales de ventas y servicio.
EMP-1016,Gerente de Ventas,West,2024-01-19,57383.44,21,3.06,88.38,94.64,175039.46,Las inspecciones de campo mejoraron la retención de clientes.
EMP-1017,Gerente de Campo,East,2024-03-01,374144.25,48,3.97,79.02,77.6,15895.04,Fuerte crecimiento regional de ventas con eficiencia operativa.
EMP-1018,Gerente de Ventas,East,2024-05-02,131248.54,51,2.85,71.85,86.43,59648.16,Superó las expectativas trimestrales de ventas y servicio.
EMP-1019,Gerente de Ventas,East,2024-10-25,356716.16,49,3.63,62.55,53.57,180586.96,Fuerte crecimiento regional de ventas con eficiencia operativa.
EMP-1020,Gerente de Ventas,Central,2024-03-12,523997.53,15,4.82,88.14,91.28,142458.47,El rendimiento se vio afectado por auditorías retrasadas.
EMP-1021,Gerente de Campo,South,2024-04-05,212298.88,30,4.07,67.08,102.58,104939.77,Requiere mejoras en la coordinación de campo.
EMP-1022,Gerente de Campo,North,2024-07-03,322185.05,50,3.04,70.58,106.3,201041.93,Requiere mejoras en la coordinación de campo.
EMP-1023,Gerente de Ventas,Central,2024-02-02,306055.12,17,3.64,69.97,119.01,136651.6,El rendimiento se vio afectado por auditorías retrasadas.
EMP-1024,Gerente de Campo,Central,2024-08-27,460903.3,27,3.38,77.4,63.8,171661.33,El rendimiento se vio afectado por auditorías retrasadas.
EMP-1025,Gerente de Ventas,West,2024-03-04,520477.06,25,2.79,71.6,64.64,176424.77,Requiere mejoras en la coordinación de campo.
EMP-1026,Gerente de Ventas,Central,2023-06-20,452364.23,32,2.96,84.15,105.47,164862.42,Las inspecciones de campo mejoraron la retención de clientes.
EMP-1027,Gerente de Campo,West,2023-05-20,252184.34,16,3.29,77.14,54.29,96169.4,Fuerte crecimiento regional de ventas con eficiencia operativa.
EMP-1028,Gerente de Ventas,West,2023-06-21,620651.16,40,3.76,78.81,104.78,109751.3,Superó las expectativas trimestrales de ventas y servicio.
EMP-1029,Gerente de Ventas,West,2024-08-02,445778.46,55,4.4,71.1,71.99,139026.07,Las inspecciones de campo mejoraron la retención de clientes.
EMP-1030,Gerente de Campo,North,2024-03-27,434808.33,12,3.93,70.18,93.45,247814.47,Requiere mejoras en la coordinación de campo.
EMP-1031,Gerente de Ventas,West,2023-09-27,742843.01,11,4.34,84.84,69.8,219954.36,Fuerte crecimiento regional de ventas con eficiencia operativa.
EMP-1032,Gerente de Campo,East,2024-12-28,653539.74,10,3.6,97.77,112.05,66867.05,Requiere mejoras en la coordinación de campo.
EMP-1033,Gerente de Campo,East,2024-09-03,166187.13,13,4.46,90.91,114.44,146817.84,Requiere mejoras en la coordinación de campo.
EMP-1034,Gerente de Ventas,South,2024-02-26,276557.53,50,3.23,81.76,126.19,133459.6,Fuerte crecimiento regional de ventas con eficiencia operativa.
EMP-1035,Gerente de Ventas,South,2024-11-23,744740.36,60,4.14,86.65,60.62,45098.43,El rendimiento se vio afectado por auditorías retrasadas.
EMP-1036,Gerente de Campo,West,2024-06-11,392621.11,41,4.08,83.86,80.01,28123.91,Fuerte crecimiento regional de ventas con eficiencia operativa.
EMP-1037,Gerente de Campo,West,2024-10-12,536292.53,28,3.64,78.55,96.56,218537.86,Fuerte crecimiento regional de ventas con eficiencia operativa.
EMP-1038,Gerente de Campo,East,2023-10-18,645074.37,55,3.84,68.28,84.37,60844.35,El rendimiento se vio afectado por auditorías retrasadas.
EMP-1039,Gerente de Campo,North,2023-04-12,433117.37,13,3.92,78.44,77.5,173812.46,Fuerte crecimiento regional de ventas con eficiencia operativa.
EMP-1040,Gerente de Campo,East,2023-06-12,61396.95,59,2.89,77.35,129.35,112671.83,Las inspecciones de campo mejoraron la retención de clientes.
EMP-1041,Gerente de Campo,East,2024-12-17,115337.99,28,3.13,74.13,122.3,49726.02,Superó las expectativas trimestrales de ventas y servicio.
EMP-1042,Gerente de Ventas,Central,2024-11-27,350461.66,10,4.26,60.04,88.14,41847.95,Las inspecciones de campo mejoraron la retención de clientes.
EMP-1043,Gerente de Campo,North,2023-08-23,56500.86,49,3.36,64.58,118.83,176567.44,Superó las expectativas trimestrales de ventas y servicio.
EMP-1044,Gerente de Campo,South,2023-03-12,112531.76,56,2.76,71.91,120.48,42911.03,Las inspecciones de campo mejoraron la retención de clientes.
EMP-1045,Gerente de Ventas,Central,2024-12-04,477223.47,15,3.6,87.45,100.25,46329.79,Superó las expectativas trimestrales de ventas y servicio.
EMP-1046,Gerente de Campo,West,2023-11-19,651973.77,10,4.74,65.32,59.85,185202.2,El rendimiento se vio afectado por auditorías retrasadas.
EMP-1047,Gerente de Ventas,East,2023-07-30,223450.46,46,2.71,81.03,98.0,155822.34,Fuerte crecimiento regional de ventas con eficiencia operativa.
EMP-1048,Gerente de Ventas,North,2023-09-04,573490.55,23,4.12,89.78,113.5,67441.86,Superó las expectativas trimestrales de ventas y servicio.
EMP-1049,Gerente de Campo,West,2024-08-05,496657.63,9,3.82,97.15,128.95,234141.86,Las inspecciones de campo mejoraron la retención de clientes.
EMP-1050,Gerente de Campo,North,2023-01-15,305788.72,48,2.93,77.9,128.99,27518.04,Requiere mejoras en la coordinación de campo.
